# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-25 12:31:50 EDT       (vaww02)
#
# Data for the following 2 site(s) are contained in this file
#    USGS 06727500 FOURMILE CREEK AT ORODELL, CO
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06727500
#            TS   parameter     statistic     Description
#         17657       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	17657_00060_00003	17657_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06727500	2011-04-01	1.30	A
USGS	06727500	2011-04-02	1.44	A
USGS	06727500	2011-04-03	1.94	A
USGS	06727500	2011-04-04	2.04	A
USGS	06727500	2011-04-05	2.07	A
USGS	06727500	2011-04-06	2.09	A
USGS	06727500	2011-04-07	2.05	A
USGS	06727500	2011-04-08	1.99	A
USGS	06727500	2011-04-09	2.00	A
USGS	06727500	2011-04-10	2.27	A
USGS	06727500	2011-04-11	2.19	A
USGS	06727500	2011-04-12	2.42	A
USGS	06727500	2011-04-13	2.73	A
USGS	06727500	2011-04-14	3.78	A
USGS	06727500	2011-04-15	2.55	A
USGS	06727500	2011-04-16	1.90	A
USGS	06727500	2011-04-17	1.72	A
USGS	06727500	2011-04-18	1.74	A
USGS	06727500	2011-04-19	4.17	A
USGS	06727500	2011-04-20	4.75	A
USGS	06727500	2011-04-21	5.57	A
USGS	06727500	2011-04-22	5.77	A
USGS	06727500	2011-04-23	5.65	A
USGS	06727500	2011-04-24	5.84	A
USGS	06727500	2011-04-25	5.81	A
USGS	06727500	2011-04-26	5.67	A
USGS	06727500	2011-04-27	5.41	A
USGS	06727500	2011-04-28	5.21	A
USGS	06727500	2011-04-29	5.30	A
USGS	06727500	2011-04-30	4.99	A
USGS	06727500	2011-05-01	4.82	A
USGS	06727500	2011-05-02	4.63	A
USGS	06727500	2011-05-03	4.19	A
USGS	06727500	2011-05-04	3.70	A
USGS	06727500	2011-05-05	3.34	A
USGS	06727500	2011-05-06	3.23	A
USGS	06727500	2011-05-07	3.31	A
USGS	06727500	2011-05-08	3.91	A
USGS	06727500	2011-05-09	5.24	A
USGS	06727500	2011-05-10	6.86	A
USGS	06727500	2011-05-11	11.2	A
USGS	06727500	2011-05-12	12.2	A
USGS	06727500	2011-05-13	9.54	A
USGS	06727500	2011-05-14	10.2	A
USGS	06727500	2011-05-15	10.6	A
USGS	06727500	2011-05-16	10.7	A
USGS	06727500	2011-05-17	10.6	A
USGS	06727500	2011-05-18	13.7	A
USGS	06727500	2011-05-19	23.3	A
USGS	06727500	2011-05-20	28.0	A
USGS	06727500	2011-05-21	29.8	A
USGS	06727500	2011-05-22	32.7	A
USGS	06727500	2011-05-23	35.1	A
USGS	06727500	2011-05-24	36.2	A
USGS	06727500	2011-05-25	32.1	A
USGS	06727500	2011-05-26	27.3	A
USGS	06727500	2011-05-27	25.8	A
USGS	06727500	2011-05-28	25.5	A
